,Industry Code,Description,Total Output,Wage and Salary Employment,Employee Compensation,Proprietor Employment,Proprietor Income,Other Property Income,Taxes on Production and Imports Net of Subsidies
59,59,521 -  Monetary Authorities-Central Bank,"$75,630,605,129.04","124,727.15","$19,570,958,651.99","24,017.28","$609,416,788.54","$34,414,897,219.54","$1,509,609,198.01"
60,60,524 -  Insurance Carriers and Related Activities,"$102,428,491,576.70","192,240.70","$27,646,350,488.24","85,666.61","$900,247,692.36","$13,339,827,617.73","$5,002,864,520.84"
61,61,"525 -  Funds, Trusts, and Other Financial Vehicles","$28,745,559,592.16","31,031.58","$4,816,388,769.84","97,177.46","$2,070,321,376.97","$262,038,806.78","$91,871,066.65"
62,62,531 -  Real Estate,"$696,517,631,989.90","244,801.62","$25,671,625,839.06","1,096,327.82","$39,937,212,528.36","$378,031,655,294.29","$48,938,603,506.49"
63,63,532 -  Rental and Leasing Services,"$31,005,243,485.08","71,427.64","$6,407,628,939.48","21,156.03","$1,662,894,700.94","$4,177,455,110.40","$2,011,674,738.76"
64,64,533 -  Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),"$52,195,634,077.90","2,627.25","$665,939,331.27","3,196.64","$143,206,129.77","$29,491,628,546.31","$705,519,991.10"
65,65,"541 -  Professional, Scientific, and Technical Services","$685,300,175,826.41","1,645,958.81","$317,095,525,351.11","811,102.26","$48,267,424,852.14","$110,719,166,651.99","$8,990,224,313.88"
66,66,551 -  Management of Companies and Enterprises,"$113,321,423,811.20","282,210.00","$74,166,323,629.86","36,347.54","$95,598,066.10","$8,539,023,162.27","$1,501,221,183.66"
67,67,561 -  Administrative and Support Services,"$168,908,141,018.66","1,043,261.76","$78,506,428,062.15","367,096.54","$12,923,051,148.17","$18,742,263,081.05","$1,527,079,887.87"
68,68,562 -  Waste Management and Remediation Services,"$21,637,752,622.57","60,932.26","$6,361,952,647.29","4,397.71","$159,092,545.77","$4,073,494,533.90","$647,253,181.33"
69,69,611 -  Educational Services,"$52,764,867,325.56","354,390.05","$29,085,374,083.45","101,786.63","$1,869,420,345.21","$3,226,150,891.78","$1,446,401,405.37"
70,70,621 -  Ambulatory Health Care Services,"$211,837,702,592.59","1,034,397.07","$111,878,172,740.73","219,348.05","$11,627,983,737.41","$22,159,366,722.53","$2,380,639,035.35"
71,71,622 -  Hospitals,"$110,834,841,984.31","429,192.27","$55,173,263,782.07",903.97,"$(91,451,343.82)","$11,125,703,546.25","$1,533,971,971.73"
